"","Date","Value","CountryCode","Country"
"158",1968-12-31,152769.98,"CAN","Canada"
"159",1967-12-31,148562.76,"CAN","Canada"
"160",1966-12-31,143473.06,"CAN","Canada"
"161",1965-12-31,140151.23,"CAN","Canada"
"162",1964-12-31,134445.89,"CAN","Canada"
"163",1963-12-31,126301.9,"CAN","Canada"
"164",1962-12-31,124982.48,"CAN","Canada"
"165",1961-12-31,124383.85,"CAN","Canada"
"166",1960-12-31,121182.59,"CAN","Canada"
"167",1959-12-31,118404.28,"CAN","Canada"
"168",1958-12-31,117879.68,"CAN","Canada"
"169",1957-12-31,114649.09,"CAN","Canada"
"170",1956-12-31,113633.11,"CAN","Canada"
"171",1955-12-31,112062.9,"CAN","Canada"
"172",1954-12-31,107219.77,"CAN","Canada"
"173",1953-12-31,105489.22,"CAN","Canada"
"174",1952-12-31,101258.28,"CAN","Canada"
"175",1951-12-31,99490.46,"CAN","Canada"
"176",1950-12-31,101470.61,"CAN","Canada"
"177",1949-12-31,97896.67,"CAN","Canada"
"178",1948-12-31,96774.14,"CAN","Canada"
"179",1947-12-31,102140.05,"CAN","Canada"
"180",1946-12-31,96913.87,"CAN","Canada"
"181",1945-12-31,94163.79,"CAN","Canada"
"182",1944-12-31,94814.33,"CAN","Canada"
"183",1943-12-31,94690.03,"CAN","Canada"
"184",1942-12-31,94703.7,"CAN","Canada"
"185",1941-12-31,92953.27,"CAN","Canada"
"186",1940-12-31,92330.36,"CAN","Canada"
"187",1939-12-31,96366.22,"CAN","Canada"
"188",1938-12-31,101123.86,"CAN","Canada"
"189",1937-12-31,90125.3,"CAN","Canada"
"190",1936-12-31,89549.48,"CAN","Canada"
"191",1935-12-31,84310.8,"CAN","Canada"
"192",1934-12-31,83231.09,"CAN","Canada"
"193",1933-12-31,79283.56,"CAN","Canada"
"194",1932-12-31,82584.78,"CAN","Canada"
"195",1931-12-31,87160.85,"CAN","Canada"
"196",1930-12-31,93884.05,"CAN","Canada"
"197",1929-12-31,98428.01,"CAN","Canada"
"198",1928-12-31,99150.74,"CAN","Canada"
"199",1927-12-31,90778.18,"CAN","Canada"
"200",1926-12-31,83282.98,"CAN","Canada"
"201",1925-12-31,73782.85,"CAN","Canada"
"202",1924-12-31,76184.31,"CAN","Canada"
"203",1923-12-31,76230.96,"CAN","Canada"
"204",1922-12-31,75649.92,"CAN","Canada"
"205",1921-12-31,78752.92,"CAN","Canada"
"206",1920-12-31,71733.15,"CAN","Canada"
"207",2003-12-31,77294.84,"CHN","China"
"208",2002-12-31,63845.19,"CHN","China"
"209",2001-12-31,54509.16,"CHN","China"
"210",2000-12-31,50118.9,"CHN","China"
"211",1999-12-31,43604.21,"CHN","China"
"212",1998-12-31,40345.84,"CHN","China"
"213",1997-12-31,39139.09,"CHN","China"
"214",1996-12-31,35685.39,"CHN","China"
"215",1995-12-31,32192.98,"CHN","China"
"216",1994-12-31,31346.53,"CHN","China"
"217",1993-12-31,28057.14,"CHN","China"
"218",1992-12-31,23109.07,"CHN","China"
"219",1991-12-31,17891.29,"CHN","China"
"220",1990-12-31,16534.96,"CHN","China"
"221",1989-12-31,16151.04,"CHN","China"
"222",1988-12-31,16306.15,"CHN","China"
"223",1987-12-31,11519.09,"CHN","China"
"224",1986-12-31,11673.13,"CHN","China"
"225",2010-12-31,246225.98,"COL","Colombia"
"226",2009-12-31,235105.56,"COL","Colombia"
"227",2008-12-31,235883.28,"COL","Colombia"
"228",2007-12-31,234972.7,"COL","Colombia"
"229",2006-12-31,219767.45,"COL","Colombia"
"230",2005-12-31,200197.12,"COL","Colombia"
"231",2004-12-31,186255.14,"COL","Colombia"
"232",2003-12-31,199671.2,"COL","Colombia"
"233",2002-12-31,183755.29,"COL","Colombia"
"234",2001-12-31,177805.78,"COL","Colombia"
"235",2000-12-31,178704.76,"COL","Colombia"
"236",1999-12-31,185493.77,"COL","Colombia"
"237",1998-12-31,206360.05,"COL","Colombia"
"238",1997-12-31,224281.29,"COL","Colombia"
"239",1996-12-31,230853.84,"COL","Colombia"
"240",1995-12-31,233551.82,"COL","Colombia"
"241",1994-12-31,235622.68,"COL","Colombia"
"242",1993-12-31,230511.92,"COL","Colombia"
"243",2009-12-31,219693.35,"FRA","France"
"244",2008-12-31,239533.36,"FRA","France"
"245",2007-12-31,253446.25,"FRA","France"
"246",2006-12-31,240168.97,"FRA","France"
"247",2005-12-31,228946.38,"FRA","France"
"248",2004-12-31,220686.93,"FRA","France"
"249",2003-12-31,216622.3,"FRA","France"
"250",2002-12-31,214753.67,"FRA","France"
"251",2001-12-31,211677.98,"FRA","France"
"252",2000-12-31,203637.53,"FRA","France"
"253",1999-12-31,197306.59,"FRA","France"
"254",1998-12-31,189319.85,"FRA","France"
"255",1997-12-31,182383.01,"FRA","France"
"256",1996-12-31,181209.84,"FRA","France"
"257",1995-12-31,181289.49,"FRA","France"
"258",1994-12-31,182015.32,"FRA","France"
"259",1993-12-31,182693.5,"FRA","France"
"260",1992-12-31,187824.53,"FRA","France"
"261",1991-12-31,194729.72,"FRA","France"
"262",1990-12-31,201970.73,"FRA","France"
"263",1989-12-31,200212.7,"FRA","France"
"264",1988-12-31,192358.74,"FRA","France"
"265",1987-12-31,187023.6,"FRA","France"
"266",1986-12-31,180910.21,"FRA","France"
"267",1985-12-31,172690.87,"FRA","France"
"268",1984-12-31,170382.61,"FRA","France"
"269",1983-12-31,171337.71,"FRA","France"
"270",1982-12-31,173603.7,"FRA","France"
"271",1981-12-31,183540.68,"FRA","France"
"272",1980-12-31,185432.89,"FRA","France"
"273",1979-12-31,190368.97,"FRA","France"
"274",1978-12-31,185992.43,"FRA","France"
"275",1977-12-31,178836.47,"FRA","France"
"276",1976-12-31,186903.68,"FRA","France"
"277",1975-12-31,179281.83,"FRA","France"
"278",1974-12-31,175115.94,"FRA","France"
"279",1973-12-31,179184.89,"FRA","France"
"280",1972-12-31,164985.36,"FRA","France"
"281",1971-12-31,157876.61,"FRA","France"
"282",1970-12-31,149387.52,"FRA","France"
"283",1969-12-31,142948.01,"FRA","France"
"284",1968-12-31,140329.07,"FRA","France"
"285",1967-12-31,142757.82,"FRA","France"
"286",1966-12-31,135288.82,"FRA","France"
"287",1965-12-31,132472.01,"FRA","France"
